Area_sqft,Bedrooms,Bathrooms,House_Age,Location,Price
2570,5,4,30,Urban,20532894.0
2916,5,4,9,Suburban,23806098.0
1608,1,1,19,Urban,12913897.0
945,5,6,15,Urban,12959780.0
3718,3,4,9,Prime,30405192.0
1304,4,4,5,Prime,17598414.0
563,5,6,17,Urban,11959484.0
1932,4,4,25,Urban,16794816.0
541,5,4,16,Suburban,7699009.0
2800,4,3,30,Urban,21092254.0
836,1,2,7,Suburban,7375414.0
1590,2,2,24,Urban,13202878.0
1687,3,4,22,Prime,19201730.0
3019,1,1,11,Urban,18604029.0
3588,2,3,6,Prime,30421714.0
2869,3,2,28,Suburban,19160152.0
2476,2,3,17,Urban,18412022.0
1301,2,3,7,Urban,12404966.0
2818,5,4,15,Suburban,21416836.0
3086,5,5,0,Suburban,22693498.0
655,3,4,2,Urban,11006023.0
2526,5,6,30,Suburban,18685298.0
1111,3,2,26,Suburban,9719581.0
806,4,3,9,Suburban,9135447.0
1832,2,1,12,Urban,14378785.0
3283,2,3,22,Urban,24236842.0
2697,5,6,4,Urban,22842497.0
3622,1,1,6,Urban,23884337.0
3130,3,3,25,Urban,22939907.0
1685,2,3,27,Suburban,11805878.0
2511,5,6,14,Prime,26786792.0
1528,4,3,0,Prime,20364394.0
1478,5,5,29,Urban,14217916.0
2793,4,4,1,Urban,22738625.0
1128,5,4,0,Suburban,13135723.0
1954,4,3,0,Urban,17488347.0
1975,1,2,25,Prime,18546937.0
2270,4,3,8,Urban,19788397.0
1395,3,4,22,Suburban,10343088.0
1309,5,5,9,Suburban,14912734.0
3159,5,6,19,Suburban,22240016.0
2248,3,2,23,Urban,17527791.0
3625,3,4,11,Urban,25888878.0
2181,4,3,2,Suburban,16965994.0
3314,5,6,28,Urban,27750823.0
3298,1,1,27,Urban,21463555.0
923,3,3,12,Urban,13031700.0
3347,5,5,1,Urban,26947705.0
3255,4,3,4,Urban,24557583.0
2678,3,2,29,Prime,23034282.0
552,1,2,22,Suburban,5509501.0
3488,4,4,26,Suburban,22517692.0
973,4,3,16,Urban,13846478.0
3645,2,3,0,Prime,30290832.0
2952,3,3,9,Urban,23248468.0
1740,5,4,23,Urban,18189018.0
1628,5,4,18,Urban,15764572.0
2428,2,3,5,Suburban,16123623.0
3394,4,4,21,Prime,27410561.0
1608,4,4,29,Prime,19281620.0
2909,4,3,3,Suburban,22377858.0
1874,2,2,11,Suburban,14074374.0
2740,4,3,24,Urban,20513059.0
2800,2,1,0,Urban,20275699.0
2602,5,6,15,Urban,24760381.0
1252,4,5,23,Suburban,11375238.0
3695,1,1,5,Urban,23047483.0
2496,2,2,25,Urban,16870355.0
3412,4,3,20,Suburban,22652439.0
1909,4,4,12,Suburban,14953747.0
602,5,4,26,Suburban,8250408.0
3840,1,1,10,Urban,25020899.0
3946,1,2,14,Prime,28471087.0
3093,5,6,20,Urban,25330139.0
2009,3,2,21,Suburban,13981867.0
2692,1,1,7,Suburban,16515187.0
1534,2,1,8,Urban,15095671.0
1300,2,2,6,Suburban,8471668.0
3542,4,5,14,Urban,26942350.0
1281,5,5,29,Suburban,13044523.0
3716,2,2,6,Suburban,23631982.0
2620,3,3,14,Urban,20755960.0
3204,3,3,20,Suburban,21246357.0
1114,4,4,0,Suburban,10708057.0
3019,3,4,27,Suburban,19708002.0
3013,2,1,26,Suburban,19496529.0
536,1,1,4,Urban,8437051.0
3863,3,2,10,Prime,30911425.0
1468,4,5,24,Urban,16988619.0
3067,1,2,25,Suburban,19288251.0
3342,1,1,7,Urban,22686228.0
1517,4,5,6,Suburban,13839983.0
3994,1,1,2,Prime,30748343.0
1823,4,4,30,Suburban,14559191.0
1482,3,4,15,Urban,15599976.0
2656,2,1,6,Urban,20054691.0
3163,3,4,0,Prime,27665339.0
3725,3,3,27,Suburban,22287493.0
895,3,3,25,Prime,15162645.0
655,5,4,6,Prime,14976059.0
3117,2,1,14,Prime,25418755.0
3779,1,2,24,Prime,28258763.0
1747,4,3,29,Suburban,13881138.0
590,5,4,29,Urban,11098531.0
770,5,5,25,Prime,16091256.0
812,4,3,5,Prime,16223545.0
1115,5,5,0,Prime,20540543.0
1438,1,1,17,Suburban,8381523.0
2486,4,5,16,Prime,24352914.0
1139,2,2,25,Suburban,7488593.0
2153,1,1,28,Suburban,12394461.0
3925,3,4,13,Urban,27154681.0
2905,5,6,15,Urban,24010178.0
596,5,4,7,Urban,11499178.0
1719,1,1,22,Urban,12934056.0
2949,3,2,28,Suburban,18797115.0
2587,5,6,5,Urban,23671921.0
1580,4,4,18,Suburban,14955043.0
1814,2,1,7,Suburban,12180640.0
1570,5,4,30,Urban,17019421.0
3188,4,3,7,Prime,28452574.0
3443,5,6,11,Urban,27289841.0
522,1,2,7,Urban,7844614.0
3299,2,2,5,Suburban,19924129.0
2561,1,1,14,Suburban,15644691.0
2359,4,3,27,Urban,19220935.0
2556,3,3,15,Urban,20044072.0
1521,4,3,2,Urban,16976352.0
703,3,3,6,Urban,9739811.0
1441,5,4,24,Suburban,11783947.0
3176,2,3,28,Urban,21636808.0
3315,3,4,20,Urban,24905623.0
2720,4,5,10,Prime,25711493.0
2519,3,4,2,Urban,22051813.0
3825,4,5,0,Urban,29075618.0
2949,3,3,28,Prime,25697365.0
1155,2,1,19,Suburban,8404335.0
2903,2,3,28,Suburban,16720539.0
1987,5,6,1,Suburban,18055768.0
1973,1,2,19,Suburban,11540282.0
3527,3,2,21,Urban,24112622.0
3969,2,1,24,Urban,25683232.0
3804,5,4,30,Suburban,24568891.0
1738,1,1,14,Urban,12891877.0
2898,4,5,16,Prime,27840335.0
2111,2,2,10,Urban,18223077.0
1734,5,5,28,Suburban,15783939.0
2926,1,2,0,Urban,19823400.0
3103,1,1,17,Suburban,18600669.0
2175,1,2,1,Suburban,13991101.0
2090,3,2,16,Suburban,13588295.0
2809,4,3,8,Suburban,17678290.0
2371,1,2,29,Urban,15378631.0
3169,3,2,20,Suburban,20630896.0
2870,3,3,2,Suburban,19622326.0
632,3,3,25,Suburban,6781742.0
3755,5,6,16,Urban,30403275.0
3631,3,4,10,Suburban,22983505.0
530,5,6,26,Prime,13224206.0
1820,4,5,29,Prime,19439872.0
2949,5,5,27,Suburban,19234709.0
714,3,3,9,Suburban,7832953.0
3700,3,4,6,Suburban,24132348.0
1425,5,4,4,Suburban,15278397.0
1810,5,4,9,Urban,17656989.0
571,2,1,5,Suburban,4594135.0
1328,4,5,19,Urban,14487491.0
683,1,1,24,Prime,10865287.0
2494,3,4,26,Prime,24271809.0
3941,4,3,2,Urban,28041264.0
605,1,1,4,Urban,7764932.0
2621,5,4,17,Urban,22265086.0
3317,4,3,17,Suburban,19316071.0
3244,5,6,14,Prime,30191382.0
2208,5,4,28,Urban,20046417.0
1214,5,5,1,Urban,16748202.0
2822,1,1,15,Suburban,15900914.0
1885,1,1,16,Urban,16193373.0
3228,2,3,16,Suburban,20615982.0
2363,2,3,19,Suburban,18113694.0
568,5,5,6,Prime,16467965.0
3343,5,5,24,Suburban,23408085.0
1163,4,5,19,Suburban,12490271.0
2468,5,6,7,Urban,21319900.0
1961,3,2,14,Prime,20495164.0
901,5,4,7,Prime,15373160.0
2634,3,4,21,Urban,19179183.0
3692,5,6,1,Prime,33710649.0
1782,1,1,16,Urban,13160473.0
2333,5,5,7,Urban,21387871.0
1473,4,3,19,Suburban,12776322.0
1776,3,4,20,Urban,15583732.0
588,3,3,14,Suburban,7520399.0
3119,1,2,26,Suburban,18548105.0
1995,5,4,0,Urban,19674420.0
1971,3,2,10,Urban,17617594.0
3788,3,2,3,Suburban,26042405.0
1891,4,5,11,Urban,17559383.0
604,4,3,26,Urban,8957626.0
3013,5,4,18,Urban,22895997.0
2600,4,3,5,Urban,21604829.0
2216,1,1,5,Urban,18140258.0
1214,1,1,15,Urban,9723546.0
3089,1,2,1,Urban,20667290.0
3900,3,3,3,Suburban,24492264.0
1637,2,3,25,Prime,17922025.0
3323,4,4,15,Prime,27667963.0
2055,4,5,13,Urban,18096580.0
1255,1,1,11,Urban,10474849.0
1515,3,2,13,Prime,17008954.0
3899,5,6,20,Urban,29290464.0
1028,4,3,22,Suburban,10201066.0
1589,5,5,2,Suburban,14246293.0
1030,4,5,10,Urban,13073083.0
2916,2,1,15,Prime,23635456.0
1920,3,2,27,Prime,19528009.0
1416,2,3,27,Prime,17404984.0
914,1,1,11,Prime,13254493.0
1522,5,4,16,Urban,16926120.0
1660,4,5,18,Urban,15214714.0
723,2,2,1,Urban,10301399.0
1068,5,4,17,Suburban,11320561.0
1528,4,4,11,Urban,15421952.0
2688,4,5,10,Urban,22804205.0
1935,4,3,12,Prime,19619931.0
3317,4,4,8,Suburban,22732716.0
594,5,5,17,Suburban,7633767.0
1551,4,4,9,Urban,16053779.0
541,2,3,6,Suburban,6889805.0
798,5,5,4,Suburban,12201361.0
536,4,5,28,Urban,10315312.0
2571,3,3,20,Prime,22487757.0
3580,5,4,12,Suburban,24113126.0
2702,2,3,25,Prime,24715846.0
1952,5,4,23,Urban,18781440.0
1501,1,1,9,Suburban,10263971.0
3707,3,4,11,Suburban,24047875.0
2920,4,3,21,Suburban,20590090.0
2179,3,3,3,Urban,17031040.0
3245,4,5,1,Prime,29311154.0
2456,4,4,18,Prime,23742707.0
800,5,6,12,Urban,14738502.0
1801,4,4,11,Urban,16481778.0
3647,5,6,21,Urban,27405129.0
3230,3,2,15,Urban,24692681.0
825,3,4,7,Suburban,10657474.0
1701,4,5,18,Suburban,12648358.0
3698,5,4,18,Suburban,24373040.0
3327,2,3,29,Urban,23121858.0
787,1,2,21,Urban,9285241.0
1870,3,2,8,Urban,15494582.0
929,4,5,14,Urban,12070919.0
945,4,4,29,Urban,13478797.0
1295,4,4,8,Prime,18921236.0
1961,5,4,7,Suburban,17315188.0
1821,5,5,12,Suburban,15596420.0
602,5,6,12,Urban,12055295.0
2735,4,5,29,Urban,21241477.0
1855,1,2,3,Urban,15961320.0
1696,1,1,1,Suburban,11812944.0
1854,1,1,19,Urban,14985700.0
1281,4,3,21,Urban,13770512.0
2976,3,2,27,Urban,19714920.0
2251,5,4,19,Suburban,17804996.0
3995,2,2,17,Urban,25867798.0
3793,1,1,24,Suburban,22011561.0
1044,1,1,0,Suburban,8634120.0
1222,1,1,29,Suburban,7147052.0
2632,2,3,20,Urban,20537064.0
2230,2,3,19,Urban,17747200.0
3430,4,5,6,Suburban,24677810.0
2714,3,2,4,Urban,21093758.0
2886,1,1,21,Urban,19557059.0
1866,3,4,21,Urban,16824009.0
1317,4,3,16,Urban,14086049.0
1384,2,3,27,Urban,12454162.0
1969,4,4,22,Urban,17950454.0
2393,5,4,22,Urban,21693977.0
3765,1,1,13,Urban,24475264.0
3218,4,4,20,Urban,22223715.0
2321,3,2,30,Urban,16564473.0
2975,3,4,20,Urban,20743263.0
2866,2,1,7,Urban,19442340.0
921,4,3,4,Prime,16203731.0
1580,1,2,0,Suburban,10778808.0
2909,3,4,1,Prime,26701511.0
3273,2,1,2,Urban,21493792.0
995,4,5,14,Suburban,10364913.0
2467,5,4,28,Suburban,16791068.0
2806,4,3,2,Urban,22333771.0
3253,5,5,10,Urban,26587338.0
3847,4,4,18,Urban,26174542.0
1480,4,3,30,Suburban,11629036.0
1105,5,6,18,Suburban,13202806.0
1312,1,1,2,Urban,12499528.0
3903,4,5,20,Urban,27627163.0
1132,2,1,25,Urban,10352816.0
1665,3,4,6,Suburban,13162398.0
2583,1,1,2,Prime,23376538.0
1755,4,4,25,Suburban,14123511.0
776,5,6,5,Suburban,12612532.0
1047,5,5,26,Prime,16174954.0
1709,1,1,9,Urban,15081322.0
3591,2,3,4,Urban,24634709.0
2825,3,3,12,Prime,25120664.0
1177,4,3,6,Suburban,12583614.0
1472,3,4,22,Urban,14075680.0
3815,2,2,8,Prime,29681980.0
1408,5,5,5,Urban,16203428.0
1427,3,3,26,Suburban,11664745.0
1319,5,6,30,Suburban,12768335.0
888,5,4,16,Suburban,11776237.0
2156,1,1,26,Urban,15203369.0
3662,5,4,12,Urban,27949013.0
3146,5,5,3,Urban,25139962.0
2759,4,3,23,Urban,20473640.0
1423,3,2,27,Suburban,9994302.0
3068,1,2,13,Urban,21438554.0
2362,4,4,17,Suburban,18518789.0
2713,2,3,21,Suburban,19529733.0
3966,5,6,19,Suburban,27337478.0
3685,5,4,21,Urban,26929373.0
2253,1,2,5,Suburban,14181631.0
2691,3,2,23,Suburban,18092890.0
1444,1,2,25,Suburban,9673786.0
2722,2,2,11,Urban,20384316.0
3435,2,3,7,Urban,26223536.0
1036,2,2,10,Urban,11276604.0
3668,4,4,24,Urban,25764831.0
526,4,5,2,Urban,11685782.0
3112,4,4,21,Urban,22837429.0
1404,1,1,1,Urban,13769809.0
1639,4,4,21,Urban,16070335.0
1830,5,4,7,Urban,18358504.0
2251,2,1,12,Urban,17940384.0
2682,2,2,11,Suburban,17400303.0
1625,4,5,14,Prime,19759289.0
2258,5,6,27,Urban,19672108.0
3729,2,3,12,Suburban,24076186.0
2838,4,4,16,Prime,26533550.0
537,4,3,10,Urban,11498110.0
2574,4,3,20,Urban,20920467.0
3559,4,4,18,Urban,27235322.0
2680,1,2,20,Suburban,15095006.0
1414,3,2,25,Urban,12588116.0
1515,5,6,28,Suburban,13874902.0
1013,3,2,1,Suburban,9605284.0
2770,1,1,1,Suburban,16546894.0
3438,1,2,19,Urban,22634679.0
1986,1,2,25,Urban,15652724.0
3271,1,2,26,Prime,26834743.0
2327,1,1,29,Prime,19386823.0
640,4,4,20,Suburban,9127744.0
517,5,5,22,Prime,13365599.0
1532,5,4,20,Suburban,12217246.0
2692,3,4,22,Urban,22149909.0
829,4,3,30,Prime,14577771.0
2260,4,3,29,Urban,17910913.0
3114,2,3,6,Urban,22644749.0
3696,1,1,21,Prime,25560606.0
3663,4,3,8,Urban,27592344.0
1160,3,3,3,Urban,12117790.0
1519,4,4,25,Urban,15491777.0
621,5,5,4,Prime,16484410.0
1745,2,2,5,Suburban,12407311.0
1913,3,2,9,Suburban,14829728.0
615,4,3,23,Urban,8921741.0
3532,3,3,11,Urban,25424064.0
851,3,3,18,Suburban,9688856.0
2150,2,2,22,Urban,16659924.0
724,3,2,10,Suburban,8506921.0
547,4,4,12,Urban,10859921.0
3034,5,4,6,Urban,25067103.0
1461,4,3,15,Suburban,12374770.0
1226,4,3,6,Urban,12930947.0
1320,3,3,12,Urban,13036668.0
2131,5,5,0,Urban,21140523.0
820,4,3,26,Urban,11182203.0
1447,3,3,15,Urban,14810334.0
3756,1,1,4,Suburban,21857305.0
2319,2,2,23,Urban,17810956.0
3828,2,1,10,Suburban,24379899.0
2441,5,4,8,Suburban,18789858.0
1365,4,4,2,Urban,15634210.0
1713,2,2,2,Urban,15842368.0
2853,3,3,20,Suburban,20070572.0
1421,1,1,17,Prime,15649923.0
856,4,4,23,Prime,16021911.0
3678,5,5,13,Suburban,25732294.0
785,4,5,2,Suburban,10889146.0
3773,2,2,30,Prime,28883620.0
3492,3,4,5,Urban,26061305.0
2135,5,6,28,Urban,20553050.0
711,2,1,30,Urban,8439858.0
1892,3,4,22,Urban,15732494.0
1200,5,6,10,Suburban,13078016.0
2313,2,2,12,Prime,20901250.0
1736,1,1,7,Urban,14397711.0
2396,4,3,14,Suburban,17206313.0
1141,2,3,0,Suburban,9890517.0
3851,3,2,14,Prime,30690019.0
1269,2,3,3,Suburban,11606555.0
2017,2,1,23,Prime,18662544.0
574,1,2,25,Suburban,6235932.0
1701,4,5,19,Suburban,16478329.0
2954,3,3,29,Suburban,19505042.0
3824,2,1,8,Suburban,22465887.0
1679,2,1,30,Urban,12811774.0
2770,2,1,9,Urban,21320082.0
1769,4,4,8,Suburban,15485769.0
969,1,2,3,Suburban,7572584.0
3047,1,2,30,Urban,20103749.0
2414,2,2,1,Urban,19591203.0
3041,2,2,23,Prime,25484095.0
3364,3,2,4,Suburban,22372714.0
1204,1,2,20,Urban,10618265.0
2476,3,2,9,Suburban,17695493.0
1895,4,4,22,Suburban,13350356.0
1423,3,3,0,Suburban,13214517.0
2206,1,1,2,Urban,15485768.0
1770,2,2,25,Urban,13553552.0
3371,5,5,30,Suburban,22084582.0
3054,5,5,4,Urban,25480699.0
3613,5,6,8,Suburban,24317189.0
2447,1,2,12,Prime,19733021.0
1391,3,3,2,Prime,19253205.0
556,4,3,7,Urban,10580058.0
1822,5,4,23,Suburban,16560808.0
1623,1,1,11,Suburban,9633675.0
2254,4,4,10,Suburban,15833291.0
3090,1,1,21,Urban,18961178.0
2333,2,2,22,Suburban,15409700.0
714,5,5,3,Urban,14365011.0
1562,5,5,14,Urban,17120459.0
1907,2,3,30,Urban,15461599.0
3058,1,1,13,Urban,21779105.0
2453,2,3,2,Urban,21317809.0
3387,3,2,19,Suburban,20714594.0
1559,5,5,5,Prime,20110454.0
816,5,6,4,Suburban,13132315.0
2901,2,2,26,Suburban,18262554.0
3302,3,2,28,Suburban,20527388.0
727,2,1,10,Suburban,6778908.0
2629,1,1,2,Suburban,16000610.0
3772,5,4,8,Suburban,24424958.0
3255,3,4,15,Prime,26769789.0
3146,5,5,30,Urban,24839016.0
2062,3,2,10,Suburban,15101156.0
3566,5,5,13,Urban,27130388.0
1143,1,2,1,Suburban,7942206.0
2327,1,1,21,Urban,16578186.0
2023,4,5,1,Urban,19108334.0
2129,4,3,30,Prime,21046103.0
1032,5,6,25,Urban,14504552.0
1580,5,4,11,Suburban,14785915.0
3789,1,1,27,Urban,24262311.0
851,1,1,26,Suburban,5287518.0
3103,2,1,8,Suburban,19532773.0
2309,2,1,13,Suburban,15055183.0
3286,5,4,4,Suburban,24245094.0
1584,3,4,2,Urban,16189578.0
739,4,3,11,Suburban,9231243.0
3525,5,4,13,Urban,26173250.0
2326,5,4,13,Urban,18993833.0
1073,1,1,0,Prime,13763396.0
1460,1,1,22,Suburban,7995645.0
643,2,2,1,Suburban,7412115.0
2522,5,4,19,Prime,25110811.0
3259,1,2,28,Urban,22788469.0
2395,1,1,12,Suburban,14231136.0
3931,4,5,29,Urban,28010238.0
2845,1,1,10,Urban,19437156.0
2011,4,3,17,Urban,16004923.0
3302,5,5,20,Suburban,24296358.0
3548,2,3,27,Suburban,21866530.0
1345,1,1,26,Urban,9332388.0
3015,5,6,13,Suburban,23778947.0
2849,3,4,29,Suburban,17663046.0
3252,5,6,18,Urban,27242248.0
2724,5,5,29,Urban,21998187.0
2563,1,2,27,Suburban,14009113.0
1991,5,6,18,Prime,21864507.0
2273,4,5,3,Urban,21469639.0
3384,1,1,6,Urban,23130980.0
2704,5,6,18,Suburban,20798975.0
3957,3,4,30,Suburban,24126429.0
3288,4,5,30,Suburban,23424070.0
3987,1,1,13,Urban,23677921.0
3825,1,1,14,Suburban,20950881.0
1994,3,4,19,Prime,20554842.0
3615,1,1,28,Urban,22604191.0
3699,5,6,25,Urban,28146505.0
3066,1,2,29,Prime,24418199.0
3506,1,1,5,Urban,23512003.0
3755,2,1,26,Prime,27488431.0
3238,2,1,25,Suburban,19688545.0
594,3,4,18,Suburban,7606435.0
1345,3,2,8,Urban,12344866.0
537,5,6,8,Prime,16323181.0
3250,5,5,27,Suburban,21364260.0
1390,5,5,28,Suburban,12174572.0
3699,1,1,10,Urban,24242074.0
523,5,5,23,Prime,13503467.0
2861,2,2,19,Suburban,18237083.0
2459,4,5,11,Urban,22295104.0
2676,4,4,14,Urban,22844256.0
1192,4,3,6,Suburban,11856864.0
3436,1,1,17,Urban,22687794.0
3570,1,1,10,Urban,23970503.0
3974,1,1,25,Prime,28626005.0
836,2,1,8,Prime,13540804.0
2935,2,3,7,Suburban,19652129.0
3204,5,5,15,Prime,28714169.0
3214,4,4,14,Suburban,22306291.0
711,2,2,27,Suburban,7523283.0
945,4,4,19,Suburban,9573157.0
3785,5,5,27,Prime,31481776.0
927,1,1,13,Urban,8522310.0
1773,4,4,28,Suburban,12533169.0
2109,4,5,28,Suburban,16554185.0
1475,4,4,27,Urban,12974858.0
2974,1,1,7,Suburban,18914182.0
1623,5,6,2,Suburban,15370991.0
3568,2,2,11,Urban,25027285.0
2967,4,5,15,Urban,23332737.0
1475,1,1,19,Suburban,9202699.0
3529,4,3,11,Prime,30070238.0
2510,2,1,1,Suburban,16164993.0
2843,4,4,8,Suburban,20873800.0
1562,1,1,5,Prime,14668444.0
992,4,5,19,Urban,11487045.0
2197,5,5,19,Suburban,18584339.0
1808,2,2,13,Urban,14340416.0
521,5,6,4,Urban,12568911.0
2204,3,2,25,Prime,22515215.0
1136,2,1,13,Suburban,7411748.0
1454,2,1,29,Urban,12045946.0
696,2,1,4,Urban,8782066.0
3770,1,1,19,Urban,24768883.0
2528,3,3,20,Suburban,17635071.0
2974,3,4,29,Urban,21474369.0
1148,4,5,8,Urban,16133545.0
2955,4,4,14,Prime,27268478.0
2431,5,5,11,Suburban,18264042.0
1368,5,4,7,Suburban,14627514.0
2208,5,6,19,Urban,19761712.0
2358,4,3,17,Prime,24375828.0
3120,3,4,15,Suburban,22466730.0
1313,4,4,27,Prime,16355926.0
3599,4,4,7,Prime,30866893.0
1628,2,1,27,Urban,12389124.0
2799,5,4,29,Urban,21644892.0
3217,1,1,12,Suburban,18971424.0
3254,4,3,30,Urban,23912353.0
1374,5,5,28,Urban,17151668.0
1733,3,3,1,Urban,16504838.0
2888,2,3,7,Suburban,19220818.0
1600,4,5,23,Suburban,12029661.0
1345,5,6,0,Urban,17766859.0
3543,4,4,15,Prime,30134149.0
3276,2,3,11,Prime,26696234.0
1134,3,2,7,Prime,16256877.0
1060,5,6,21,Urban,12838546.0
1886,1,2,28,Prime,18171996.0
3593,2,2,24,Urban,23856268.0
1654,1,1,5,Suburban,11080174.0
681,2,2,21,Urban,9222372.0
2718,4,5,20,Suburban,19329293.0
1246,1,1,17,Suburban,8399718.0
2011,3,2,1,Prime,20817700.0
2799,5,6,20,Suburban,22267073.0
1713,1,1,18,Urban,12234403.0
1757,4,5,24,Suburban,15320698.0
1941,3,4,3,Urban,19559673.0
1070,4,5,20,Urban,13615347.0
1091,3,4,22,Urban,12827491.0
1025,2,1,18,Suburban,9225422.0
3686,1,1,23,Suburban,20237152.0
2330,3,2,7,Urban,18484372.0
1881,3,3,5,Prime,20101959.0
1576,1,2,16,Prime,17277907.0
2576,3,4,15,Urban,21592875.0
3660,2,2,24,Urban,25266755.0
3424,2,1,15,Suburban,20842106.0
3114,5,6,18,Prime,28508593.0
3881,1,2,9,Urban,25286483.0
2214,2,1,23,Prime,20535791.0
3792,4,5,16,Suburban,24432596.0
2781,3,2,15,Suburban,17492932.0
3083,3,2,14,Suburban,18906439.0
1283,3,2,17,Prime,16097332.0
1896,3,3,4,Urban,16309929.0
2008,5,4,8,Suburban,17301820.0
710,2,1,25,Suburban,7101309.0
3326,2,1,25,Suburban,18514428.0
1591,3,2,8,Suburban,13267601.0
3658,3,4,25,Suburban,23592621.0
1118,2,1,16,Urban,11307392.0
1020,3,2,16,Urban,11803728.0
2842,2,2,27,Urban,18468020.0
1621,5,6,1,Urban,18176646.0
2901,4,4,2,Urban,22368825.0
3207,5,5,16,Suburban,23371172.0
1278,5,6,26,Suburban,12410109.0
1502,1,1,21,Urban,12122461.0
584,4,5,28,Suburban,5736273.0
1684,1,2,16,Urban,13395637.0
2073,2,2,8,Suburban,14179225.0
842,3,4,17,Urban,10808570.0
3381,3,4,19,Urban,25177054.0
3426,1,1,29,Suburban,19286731.0
809,2,1,8,Suburban,7225984.0
886,1,1,25,Suburban,6385191.0
2068,3,4,8,Suburban,15687675.0
2861,5,5,2,Prime,28746314.0
